itemId,Title,Description,Release Date
68719494699,Button-accent Striped Sweater,This button-accent striped sweater is perfect to color up your day. ,2021-07-15T11:12:13.000Z
68719494706,Striped Turtleneck Sweater,"This cream and black striped turtleneck sweater is crafted with a lightweight blend, perfect for layering or on its own. ",2021-06-10T11:12:13.000Z
68719494713,Sailor Striped Cardigan,This sailor striped cardigan is perfect for layering and styling during the cold.,2021-04-25T11:12:13.000Z
68719494720,Knit Striped Turtleneck Sweater,"This knit striped turtleneck sweater is crafted with a lightweight cotton blend, perfect for layering.",2021-09-19T11:12:13.000Z
68719494733,Spring Print Blouse,This green spring print blouse is perfect for styling in the spring for an effortless look. ,2021-01-11T11:12:13.000Z
68719494740,Short Sleeve Swing Blouse,This pink short sleeved swing blouse is perfect for styling in all seasons while giving an effortlessly elegant look.,2021-05-13T11:12:13.000Z
68719494747,Wool Shawl," This blush wool shawl is perfect for bundling up in the cold, as well as styling in the cold.",2021-02-21T11:12:13.000Z
68719494754,Ruffled Ombre Tank,"This ruffled ombre tank is perfect for every season, as it can be layered or worn on its own. ",2021-06-24T11:12:13.000Z
68719494761,Crop Boyfriend Jeans,"Made from red denim, these cropped boyfriend jeans are designed with room to move, while staying fit to your body.",2021-08-21T11:12:13.000Z
68719494769,Crop Straight-leg Jeans,These cropped straight-leg jeans are excellent for both comfort and for style.,2021-04-10T11:12:13.000Z
68719494777,Distressed Skinny Jeans,These blue denim skinny jeans are distressed for a relaxed and layed-back style.,2021-08-17T11:12:13.000Z
68719494785,Relaxed Fit Boyfriend Jeans,"These boyfriend jeans are made with a relaxed fit for maximum comfort, while keeping in style.",2021-02-12T11:12:13.000Z
68719494793,Distressed Flare Jeans,These light blue denim flare jeans are distressed for a retro relaxed look. ,2021-07-24T11:12:13.000Z
68719494801,Ripped Crop Jeans,"These ripped cropped jeans are perfect for a day out, or any casual wear. ",2021-06-18T11:12:13.000Z
68719494809,"""Distressed 3"""" Shorts""","These distressed shorts are complete with a 3"" inseam and a folded hem.",2021-09-23T11:12:13.000Z
68719494817,Ripped Short Shorts,These ripped short shorts are complete with a light washed denim and a rugged seam. ,2021-04-25T11:12:13.000Z
68719494825,High Waisted Vintage Shorts,These high waisted vintage shorts are perfect for pairing with your favorite tube top for the summer.,2021-09-10T11:12:13.000Z
68719494833,Belted Dress Boots,"These belted dress boots are crafted with a waterproof shell, as well as a 1.5 inch heel.",2021-09-21T11:12:13.000Z
68719494856,Platform Stilleto Booties,Platform stilletos are paired with black leather booties to create the perfect shoe for a night out.,2021-05-15T11:12:13.000Z
68719494879,Platform Suede Stilleto Booties,Platform stilletos are met with booties and suede to create the ultimate timeless look.,2021-07-26T11:12:13.000Z
68719494902,Platform Stilleto Low-top Booties,These platform stilleto low-top booties are crafted with a waterproof blend for a shoe that can be worn in all seasons. ,2021-03-18T11:12:13.000Z
68719494925,Blue Suede Pumps,A classic pump meets a happy blue suede for a fun look.,2021-02-18T11:12:13.000Z
68719494948,Platform Cheetah Pumps,The classic platform pump design matched with the cheetah print design adds spunk to any look. ,2021-08-13T11:12:13.000Z
68719494971,Platform Brocade Pumps,These platform brocade pumps create a leg-lengthening lift and a classy look. ,2021-07-26T11:12:13.000Z
68719494994,Platform Leather Pumps,These black platform leather pumps are perfect a night out.,2021-01-19T11:12:13.000Z
68719495017,Platform Patent Pumps,These red platform patent pumps can add life to any outfit.,2021-09-19T11:12:13.000Z
68719495040,Open-toe Suede Pumps,These blue open-toed suede pumps are perfect for both night and day.,2021-02-11T11:12:13.000Z
68719495063,Open-toe Polka-dot Pumps,These open-toed polka-dot pumps are complete with an embelishment at the end for a classy edge.,2021-01-13T11:12:13.000Z
68719495086,Platform Open-toe Velvet Pumps,These tan platform open-toe velvet pumps are perfect for pairing with any cocktail dress. ,2021-04-24T11:12:13.000Z
68719495109,Multi-colored Open-toe Pumps,These multi-colored open-toe pumps are perfect for adding a sense of quirkiness to any outfit.,2021-08-17T11:12:13.000Z
68719495132,Pointed-toe Pumps,These red pointed-toe pumps are perfect for pairing with your favorite cocktail dress. ,2021-02-16T11:12:13.000Z
68719495155,Pointed-toe Patent Pumps,These magenta pointed-toe patent pumps are perfect for both day and night.,2021-08-21T11:12:13.000Z
68719495178,Night on the Town Pumps,"These night in the town pumps create a timelessly classy look, perfect for an evening out.",2021-05-22T11:12:13.000Z
68719495201,Open-toe Snakeskin Pumps,These open-toed snakeskin pumps are perfect for adding an edge to any outfit.,2021-07-22T11:12:13.000Z
68719495224,Open-toe Snakeskin Strap Pumps,These open-toe snakeskin strap pumps create an edgy and nonchalant style. ,2021-05-14T11:12:13.000Z
68719495247,Multi-colored Platform Sandal Pumps,These multi-colored platform sandal pumps can add spunk and an edge to any outfit.,2021-06-12T11:12:13.000Z
68719495270,Strappy Platform Pumps,These strappy platform pumps can be paired with your favorite sun dress for an elegant look. ,2021-09-15T11:12:13.000Z
68719495293,Lattice Platform Pumps,"These lattice platform pumps go perfect with nearly every outfit, and can be worn for both a day and a night out.",2021-02-20T11:12:13.000Z
68719495316,Pointed-toe Strap Pumps,"These red pointed-toe strap shoes bring back the class, providing a sophisticated look.",2021-06-22T11:12:13.000Z
68719495339,Belted-toe Floral Platform Pumps,These belted-toe floral platform pumps are perfect for adding a sense of elegancy to any look.,2021-09-18T11:12:13.000Z
68719495362,Low-profile Stained-glass Pumps,These low-profile stained-glass pumps create an elegant non-chalant look.,2021-02-22T11:12:13.000Z
68719495385,Sandal Flat,"This sandal flat is created with a maximum comfort fit, as well as a customizable strap. ",2021-01-11T11:12:13.000Z
68719495871,Twill Banded Fedora Hat,A fabric band outlining a fedora made of twill. ,2021-09-15T11:12:13.000Z
68719495883,Herringbone Fedora,A grey band circling a fedora complete with a herringbone pattern. ,2021-07-21T11:12:13.000Z
68719495895,Navy Felt Safari Fedora,A navy safari-style fedora made of felt. ,2021-09-18T11:12:13.000Z
68719495907,Black Wool Felt Safari Fedora,A ribbon band outlining a fedora made of black felted wool. ,2021-01-17T11:12:13.000Z
68719495919,Grey Classic Fedora,A classic fedora with a black ribbon and a grey body. ,2021-05-10T11:12:13.000Z
68719495931,Tan Straw Fedora,"A boho take on a classic fedora, made of straw complete with a brown band. ",2021-03-10T11:12:13.000Z
68719495943,Floral Band Raffia Straw Sun Hat,"A classic straw sun hat, complete with a floral band. ",2021-03-12T11:12:13.000Z
68719495944,Low Profile Baseball Cap,"A classic baseball cap made of a lightweight blend, creating a nonchalant look.",2021-09-16T11:12:13.000Z
68719495947,Plaid Straight Brim Skate Hat,"A skate-style cap with a straight brim, complete with a plaid design.",2021-08-17T11:12:13.000Z
68719495948,Red Low Profile Baseball Cap,"A classic nonchalant baseball cap, made of a red blend. ",2021-03-20T11:12:13.000Z
68719495949,Grey Twill Ball Cap,A classic baseball cap made of a grey twill blend. ,2021-04-26T11:12:13.000Z
68719495950,Navy Low Profile Baseball Cap,"A classic navy baseball cap made of a lightweight blend, creating a nonchalant look.",2021-01-23T11:12:13.000Z
68719495951,Tan Low Profile Baseball Cap,A classic baseball cap made of a quality tan fabric. ,2021-09-16T11:12:13.000Z
68719495952,Black Twill Dressy Baseball Cap,A baseball cap made of black twill for a more elegant look.  ,2021-01-25T11:12:13.000Z
68719495953,Black Striped Tie,Narrow stripes stretch across a tie made from Italian silk.,2021-01-14T11:12:13.000Z
68719495954,Red Striped Tie,Narrow red stripes stretch across a sophisticated tie.,2021-06-10T11:12:13.000Z
68719495955,Navy Blue Tie,A solid navy blue tie crafted from wool.,2021-07-24T11:12:13.000Z
68719495956,Periwinkle Tie,A solid periwinkle blue tie crafted from satin.,2021-05-17T11:12:13.000Z
68719495957,Geometric Print Tie,A geometric-style red and orange tie crafted from wool.,2021-06-24T11:12:13.000Z
68719495958,Red and Black Tie,An Italian satin red and black tie. ,2021-05-15T11:12:13.000Z
68719495959,Black Skinny Tie,A thin black wool tie. ,2021-08-11T11:12:13.000Z
68719496621,Men's Relaxed Fit Canvas Pants,Relaxed fit men`s canvas pants that can be dressed up or down.,2021-06-13T11:12:13.000Z
68719496634,Heavy Cotton Blend Sport Sweatpants,Sport sweatpants made of a heavy cotton blend for maximum comfort. ,2021-02-14T11:12:13.000Z
68719496647,Grey Twill Dress Pants,Dress pants made of grey twill for a classy and sophisticated look. ,2021-09-20T11:12:13.000Z
68719496660,Black Mens Suit Coat,Men`s black suit coat made of wool for a formal night out.,2021-02-17T11:12:13.000Z
68719497371,Wool Blend Sports Blazer,Sports blazer made of a quality wool blend.,2021-04-15T11:12:13.000Z
68719497390,Grey Double Breasted Dress Blazer,Grey double breasted dress blazer made of linen for a look that can be dressed up or down.,2021-01-12T11:12:13.000Z
68719497409,Men's Checkered Loosefit Blazer,Men`s checkered loosefit blazer for a casual yet sophisticated look.,2021-05-14T11:12:13.000Z
68719497428,Heavy Wool Navy Blazer,Navy blazer crafted with a heavy wool blend for a classy look. ,2021-07-10T11:12:13.000Z
68719497447,Elbow Patch Sports Coat,Tan sports coat with navy elbow patches for a classy vintage look.,2021-02-14T11:12:13.000Z
68719497466,Men's Grey Sports Jacket,"Men`s grey sports jacket, lined for maximum comfort. ",2021-08-11T11:12:13.000Z
68719497485,Men's Denim Sports Jacket,"Men`s sports jacket, crafted from blue denim. ",2021-08-14T11:12:13.000Z
68719497504,Men's Black Suite Jacket,"Men`s black suit jacket, crafted from wool for a classy look.",2021-02-20T11:12:13.000Z
68719497523,Men's Grey Twill Dress Jacket,"Men`s dress jacket, crafted from grey twill for a sophisticated look. ",2021-06-22T11:12:13.000Z
68719497542,Black Blazer With Zippered Breast Pocket,Black blazer complete with a zippered breast pocket. ,2021-01-21T11:12:13.000Z
68719497561,Single Breasted One Button Men's Suite Jacket,Men`s single breasted and one buttoned suite jacket.,2021-04-22T11:12:13.000Z
68719498121,Grand Cap Toe Leather Oxfords,Carefully selected leather expertly crafted in Italy with full dedication to accomplish the design of these Grand Cap Toe shoes.,2021-05-21T11:12:13.000Z
